Herstellercode=052;
Geraete ID=02080;
Klassifizierungscode=9;
Rn=01;
Rf=01;
Beginn=15.02.2016 13:32:06;
Ende=16.02.2016 23:59:32;
Hardwareversion=0.0.2016;
Exportbeginn=16.02.2016 00:00:00;
Exportende=16.02.2016 23:59:59;
Exportformat=Fahrzeugeinzeldaten V1.0;

Messung Nr.=121;
Mess Beginn=15.02.2016 13:32:06;
Mess Ende=16.02.2016 23:59:32;
GPS long=8,795198;
GPS lat=51,772411;
GPS Uhrzeit=16.02.2016 20:00:00;
GPS Qualitaet=1;
GPS Satelliten=10;
GPS HDOP=0,9;
Softwareversion=1.92.26.11.2015;


Verkehrsdaten:
Datum	Uhrzeit	V	L	Zeit	FS	Code	Schall	AZ	Sta;
16.02.2016	06:07:37	68	50	65535	1	7	0	2	0;
16.02.2016	06:07:44	67	49	65535	2	7	0	2	0;
16.02.2016	06:07:48	77	42	65535	1	7	0	2	0;
16.02.2016	06:07:57	55	64	65535	1	11	0	2	0;
16.02.2016	06:08:14	84	41	65535	1	7	0	2	0;
16.02.2016	06:08:16	61	58	65535	2	7	0	2	0;
16.02.2016	06:08:23	70	50	65535	1	11	0	2	0;
16.02.2016	06:08:34	69	48	65535	1	7	0	2	0;
16.02.2016	06:08:35	68	50	65535	2	7	0	2	0;
16.02.2016	06:08:44	69	45	65535	2	7	0	2	0;
16.02.2016	06:08:48	84	44	65535	1	7	0	2	0;
16.02.2016	06:08:59	64	41	65535	1	7	0	2	0;
16.02.2016	06:09:11	68	48	65535	2	7	0	2	0;
16.02.2016	06:10:02	72	39	65535	1	7	0	2	0;
16.02.2016	06:10:25	73	45	65535	2	7	0	2	0;
16.02.2016	06:10:39	76	47	65535	2	7	0	2	0;
16.02.2016	06:10:43	74	36	65535	2	7	0	2	0;
16.02.2016	06:10:52	73	51	65535	2	7	0	2	0;
16.02.2016	06:10:58	62	44	65535	1	7	0	2	0;
16.02.2016	06:11:12	66	35	65535	2	7	0	2	0;
16.02.2016	06:11:15	70	41	65535	2	7	0	2	0;
16.02.2016	06:11:44	82	50	65535	1	7	0	2	0;
16.02.2016	06:12:01	86	48	65535	1	7	0	2	0;
16.02.2016	06:12:13	78	43	65535	2	7	0	2	0;
16.02.2016	06:12:18	81	48	65535	1	7	0	2	0;
16.02.2016	06:12:24	64	40	65535	1	7	0	2	0;
16.02.2016	06:12:29	78	41	65535	1	7	0	2	0;
16.02.2016	06:12:29	80	43	65535	2	7	0	2	0;
16.02.2016	06:12:33	80	52	65535	2	11	0	2	0;
16.02.2016	06:13:54	70	40	65535	1	7	0	2	0;
16.02.2016	06:14:05	76	47	65535	1	7	0	2	0;
16.02.2016	06:14:10	73	44	65535	2	7	0	2	0;
16.02.2016	06:14:12	71	43	65535	2	7	0	2	0;
16.02.2016	06:14:14	87	46	65535	1	7	0	2	0;
16.02.2016	06:14:17	83	40	65535	1	7	0	2	0;
16.02.2016	06:14:19	81	49	65535	1	7	0	2	0;
16.02.2016	06:14:27	80	56	65535	2	7	0	2	0;
16.02.2016	06:14:38	75	37	65535	1	7	0	2	0;
16.02.2016	06:14:44	68	59	65535	1	11	0	2	0;
16.02.2016	06:15:01	79	46	65535	1	7	0	2	0;
16.02.2016	06:15:51	71	38	65535	1	7	0	2	0;
16.02.2016	06:16:08	76	41	65535	1	7	0	2	0;
16.02.2016	06:16:32	66	71	65535	1	3	0	2	0;
16.02.2016	06:16:36	61	39	65535	2	7	0	2	0;
16.02.2016	06:16:37	62	43	65535	2	7	0	2	0;
16.02.2016	06:16:37	84	42	65535	1	7	0	2	0;
16.02.2016	06:16:45	69	37	65535	1	7	0	2	0;
16.02.2016	06:16:58	83	55	65535	1	11	0	2	0;
16.02.2016	06:17:06	83	38	65535	1	7	0	2	0;
16.02.2016	06:17:27	66	39	65535	1	7	0	2	0;
16.02.2016	06:17:36	64	89	65535	2	3	0	2	0;
16.02.2016	06:17:52	80	41	65535	2	7	0	2	0;
16.02.2016	06:17:56	61	43	65535	1	7	0	2	0;
16.02.2016	06:18:00	71	55	65535	2	7	0	2	0;
16.02.2016	06:18:16	94	41	65535	2	7	0	2	0;
16.02.2016	06:18:23	93	43	65535	1	7	0	2	0;
16.02.2016	06:18:28	81	45	65535	1	7	0	2	0;
16.02.2016	06:18:34	63	45	65535	2	7	0	2	0;
16.02.2016	06:18:48	73	63	65535	2	11	0	2	0;
16.02.2016	06:19:01	77	49	65535	2	7	0	2	0;
16.02.2016	06:19:02	80	45	65535	1	7	0	2	0;
16.02.2016	06:19:25	94	46	65535	1	7	0	2	0;
16.02.2016	06:19:27	64	37	65535	1	7	0	2	0;
16.02.2016	06:19:27	65	43	65535	1	7	0	2	0;
16.02.2016	06:19:30	69	38	65535	1	7	0	2	0;
16.02.2016	06:19:53	76	44	65535	2	7	0	2	0;
16.02.2016	06:19:55	76	35	65535	2	250	0	0	0;
16.02.2016	06:19:56	67	39	65535	1	7	0	2	0;
16.02.2016	06:20:09	79	42	65535	1	7	0	2	0;
16.02.2016	06:20:10	88	44	65535	2	7	0	2	0;
16.02.2016	06:20:16	82	44	65535	1	7	0	2	0;
16.02.2016	06:20:19	78	43	65535	1	7	0	2	0;
16.02.2016	06:20:22	74	38	65535	1	7	0	2	0;
16.02.2016	06:20:23	72	44	65535	2	7	0	2	0;
16.02.2016	06:20:30	69	42	65535	1	7	0	2	0;
16.02.2016	06:21:00	83	41	65535	1	7	0	2	0;
16.02.2016	06:21:05	74	41	65535	2	7	0	2	0;
16.02.2016	06:21:07	79	50	65535	2	7	0	2	0;
16.02.2016	06:21:11	76	45	65535	1	7	0	2	0;
16.02.2016	06:21:21	100	45	65535	1	7	0	2	0;
16.02.2016	06:21:22	68	41	65535	1	7	0	2	0;
16.02.2016	06:21:24	75	41	65535	1	7	0	2	0;
16.02.2016	06:21:28	77	37	65535	1	7	0	2	0;
16.02.2016	06:21:32	94	48	65535	1	7	0	2	0;
16.02.2016	06:21:34	90	48	65535	1	7	0	2	0;
16.02.2016	06:21:42	75	39	65535	1	7	0	2	0;
16.02.2016	06:21:51	70	49	65535	1	7	0	2	0;
16.02.2016	06:22:06	86	48	65535	1	7	0	2	0;
16.02.2016	06:22:29	72	49	65535	2	7	0	2	0;
16.02.2016	06:22:40	66	46	65535	1	7	0	2	0;
16.02.2016	06:23:18	71	41	65535	1	7	0	2	0;
16.02.2016	06:23:34	84	49	65535	1	7	0	2	0;
16.02.2016	06:23:37	65	131	65535	1	9	0	4	0;
16.02.2016	06:23:44	72	49	65535	1	7	0	2	0;
16.02.2016	06:24:16	84	55	65535	2	7	0	2	0;
16.02.2016	06:24:20	75	52	65535	2	11	0	2	0;
16.02.2016	06:24:30	69	45	65535	1	7	0	2	0;
16.02.2016	06:24:50	71	41	65535	1	7	0	2	0;
